imdb_movies
id,title,genre
tt0016308,Zingaresca,Comedy
tt0016309,"Sally, Irene and Mary","Comedy, Drama"
tt0016310,The Salvation Hunters,Drama
tt0016332,Le sette probabilità,"Comedy, Romance"
tt0016338,She,"Adventure, Fantasy, Sci-Fi"
tt0016377,Soul-Fire,Drama
tt0016392,Die Stadt ohne Juden,Drama
tt0016394,Stage Struck,Comedy
tt0016395,Stella Dallas,Drama
tt0016461,Tumbleweeds,Western
tt0016473,Il trio infernale,"Crime, Drama, Romance"
tt0016480,The Vanishing American,Western
tt0016481,Varieté,"Crime, Drama, Romance"
tt0016491,Visages d'enfants,"Drama, Mystery, Romance"
tt0016493,Il viaggio immaginario,"Comedy, Drama, Fantasy"
tt0016544,Il mago di Oz,"Comedy, Family, Fantasy"
tt0016545,Wolfblood,"Adventure, Drama, Romance"
tt0016548,A Woman of the World,"Comedy, Drama"
tt0016559,Zakroyshchik iz Torzhka,Comedy
tt0016560,Zander the Great,"Action, Comedy, Drama"
tt0016563,L'erede dei Grishus,Drama
tt0016627,Bardelys il magnifico,"Drama, Romance"
tt0016629,The Bat,"Mystery, Thriller"
tt0016630,Se perdo la pazienza...,"Action, Comedy, Romance"
tt0016634,Beau Geste,"Action, Adventure, Drama"
tt0016640,The Bells,"Crime, Drama, Horror"
tt0016643,The Better 'Ole,"Comedy, War, Drama"
tt0016646,Beverly of Graustark,"Comedy, Romance"
tt0016654,Il pirata nero,"Adventure, Action"
tt0016655,Il corvo,"Crime, Drama, Romance"
tt0016664,L'aquila azzurra,"Action, Drama"
tt0016669,La Bohème,"Drama, Romance"
tt0016672,The Boob,"Comedy, Romance"
tt0016690,Brown of Harvard,"Action, Drama, Romance"
tt0016691,Brudeferden i Hardanger,"Drama, Romance"
tt0016762,Dancing Mothers,Drama
tt0016804,Don Juan,"Adventure, Romance"
tt0016822,Ella Cinders,"Comedy, Romance"
tt0016827,Eve's Leaves,"Comedy, Romance"
tt0016832,Exit Smiling,"Comedy, Romance"
tt0016847,Faust,"Drama, Fantasy, Horror"
tt0016854,Le disgrazie di adamo,Comedy
tt0016871,Fine Manners,Comedy
tt0016884,La carne e il diavolo,"Drama, Romance"
tt0016895,Il re degli straccioni,"Action, Comedy, Romance"
tt0016914,Geheimnisse einer Seele,Drama
tt0016939,The Great K & A Train Robbery,Western
tt0016947,Hands Up!,"Action, Comedy, War"
tt0016953,La montagna dell'amore,Drama
tt0016971,His First Flame,Comedy
tt0017004,It's the Old Army Game,"Adventure, Comedy, Romance"
tt0017028,Kid Boots,"Comedy, Romance"
tt0017029,Kiki,Comedy
tt0017048,Una pagina di follia,"Drama, Thriller"
tt0017075,Il pensionante,"Crime, Drama, Mystery"
tt0017082,Love 'Em and Leave 'Em,"Comedy, Drama, Romance"
tt0017096,Maciste all'inferno,"Action, Drama, Fantasy"
tt0017103,The Magician,"Drama, Fantasy, Horror"
tt0017119,Mantrap,Comedy
tt0017120,Mare Nostrum,"Drama, War"
tt0017128,La madre,Drama
tt0017136,Metropolis,"Drama, Sci-Fi"
tt0017159,Miss Mend,"Adventure, Comedy, Crime"
tt0017184,My Lady of Whims,Comedy
tt0017195,Namus,Drama
tt0017196,Nanà,"Drama, Romance"
tt0017198,Nell Gwyn,"Biography, Drama, History"
tt0017226,Old Ironsides,"Drama, History"
tt0017271,Secondo la legge,Drama
tt0017293,Protsess o tryokh millionakh,Comedy
tt0017329,The Road to Mandalay,Drama
tt0017338,Der Rosenkavalier,Comedy
tt0017350,La lettera rossa,Drama
tt0017354,Il mostro del mare,"Action, Adventure, Fantasy"
tt0017374,La corsa a ostacoli di Shamrock,"Romance, Drama"
tt0017378,Shinel,Drama
tt0017382,The Show-Off,"Comedy, Drama"
tt0017409,La vita è un charleston,Comedy
tt0017410,So's Your Old Man,Comedy
tt0017416,Il figlio dello sceicco,"Adventure, Drama, Romance"
tt0017419,The Sorrows of Satan,"Drama, Romance"
tt0017423,Passerotti,Drama
tt0017437,La grande sparata,Comedy
tt0017438,Der Student von Prag,"Drama, Horror"
tt0017448,Tartufo,Drama
tt0017449,La tentatrice,"Drama, Romance"
tt0017463,I tre furfanti,"Romance, Western"
tt0017480,Torrent,"Drama, Romance"
tt0017483,Di corsa dietro un cuore,"Adventure, Comedy, Romance"
tt0017519,The Volga Boatman,"Drama, Romance"
tt0017534,L'allievo di West Point,"Drama, Romance, Sport"
tt0017540,Gloria,"Comedy, Drama, War"
tt0017567,Fiore del deserto,"Drama, Romance, Western"
tt0017619,Almost Human,"Drama, Romance"
tt0017621,La mandragora,"Drama, Fantasy, Horror"
tt0017632,Annie Laurie,"Drama, Romance"
tt0017653,Baby ryazanskie,Drama
tt0017662,Barbed Wire,"Drama, Romance, War"
tt0017667,The Beloved Rogue,"Adventure, Drama, History"
tt0017726,Café Elektric,Drama
tt0017735,Captain Salvation,"Drama, Romance"
tt0017736,Casanova,"Biography, Drama"
tt0017739,Il castello degli spettri,"Comedy, Horror, Mystery"
tt0017750,Chicago,"Comedy, Crime, Drama"
tt0017751,I figli del divorzio,"Drama, Romance"
tt0017765,Tuo per sempre,"Comedy, Drama, Sport"
tt0017809,La ragazza con la cappelliera,"Comedy, Drama, Romance"
tt0017825,Il declino,"Adventure, Drama, Thriller"
tt0017832,L'atleta innamorato,"Drama, Sport"
tt0017843,Fragile virtù,"Romance, Thriller"
tt0017860,The Fair Co-Ed,Comedy
tt0017886,The First Auto,"Comedy, Drama"
tt0017918,The Gaucho,"Adventure, Romance"
tt0017925,Come vinsi la guerra,"Action, Adventure, Comedy"
tt0017928,Get Your Man,"Comedy, Romance"
tt0017938,La glace à trois faces,"Drama, Romance"
tt0017961,La Felicità,"Comedy, Drama"
tt0017998,Hindle Wakes,"Drama, Romance"
tt0018014,Hotel Imperial,"Drama, War"
tt0018016,Hula,"Drama, Romance"
tt0018033,Cosetta,"Comedy, Romance"
